,idx,source,w1,w2,w1_lemma,w2_lemma,rel_type,note,total_freq,w1_freq,w2_freq,rel_type_total_freq,MI,t-score,z-score,logDice,ΔP(w1->w2),ΔP(w2->w1),acad,blog,fic,mag,news,spok,tvm,web,log_freq,w1_log,w2_log,PC1,PC2,PC3
79,80,NW2017,take,advantage,take,advantage,verb_obj,,21199,1120240,39722,33005666,3.974891904,136.3390834,540.6313379,9.226062478,0.0183427,0.500345426,2518,3727,1365,3521,3127,2179,1589,3173,4.326315374856817,6.049311075803824,4.599031107071499,3.0326215959247405,-3.595724911898712,1.1096730864923958
80,81,NW2017,save,energy,save,energy,verb_obj,,816,85844,27799,33005666,3.496460668,26.03463565,87.4623766,7.878276045,0.008685957,0.026775239,48,130,53,251,94,48,87,105,2.9116901587538613,4.933709945880706,4.444029173533431,-1.4953656254893004,-0.27346332288264896,-0.42157856308321084
81,82,NW2017,pay,attention,pay,attention,verb_obj,,28723,147589,90703,33005666,6.146040872,167.0854494,1406.079769,11.94754783,0.192728481,0.313059587,2570,4800,4188,3467,2648,4240,2910,3900,4.4582297982235675,5.169053990160983,4.957621651579379,6.189253312506365,-1.2951700020144192,-1.0560361313263054
82,83,NW2017,have,access,have,access,verb_obj,,17779,2932623,48839,33005666,2.034590705,100.7931745,204.0175553,7.610298042,0.005029672,0.275588527,3035,3047,634,2037,2302,2481,1336,2907,4.249907329935918,6.467256236337788,4.6887667629934,0.7770990412736728,-3.4479943750940842,-0.22099215560608515
83,84,NW2017,do,research,do,research,verb_obj,,9427,476373,27239,33005666,4.583675146,93.04359683,455.6153481,9.260629879,0.019241547,0.331925523,654,2477,522,932,807,1102,1021,1912,3.974373507081423,5.677947138446113,4.435191159685178,1.8545093131975254,-2.159715524386417,0.6147773039423668
84,85,NW2017,reduce,risk,reduce,risk,verb_obj,,4126,89321,41831,33005666,5.18774183,62.47157084,377.1510983,10.00964782,0.045047465,0.096050485,1107,348,14,1369,374,280,26,608,3.615529223637133,4.9509535766032835,4.621498246825211,1.0007235733866542,-0.45003158219665507,-0.5932008443881316
85,86,NW2017,take,flight,take,flight,verb_obj,,1438,1120240,10678,33005666,1.988328083,28.3637182,56.49842732,5.380785064,0.000993866,0.100761173,63,120,372,251,204,129,180,119,3.1577588860468637,6.049311075803824,4.02848991652189,-2.0889268225765942,-1.5092517698132157,-0.1323733496909772
86,87,NW2017,build,muscle,build,muscle,verb_obj,,739,127196,9613,33005666,4.318176133,25.82178722,115.3284803,7.467626938,0.005540028,0.073042576,8,187,23,347,42,34,21,77,2.8686444383948255,5.1044734540384775,3.9828589423120753,-1.3794019951883354,-0.17562212783932896,0.10115282346927754
87,88,NW2017,make,progress,make,progress,verb_obj,,7634,920276,18325,33005666,3.901201188,81.52489744,315.1225988,8.058070999,0.007962133,0.388922928,914,995,493,779,1070,1717,653,1013,3.8827521556130797,5.963918096150782,4.263043983313166,1.1236908674298336,-2.5414019511222405,1.1049965804377586
88,89,NW2017,improve,quality,improve,quality,verb_obj,,3818,65578,24382,33005666,6.300358627,61.00595785,541.590098,10.44160535,0.05759646,0.154718351,1319,578,25,571,466,211,23,625,3.581835924057648,4.81675816740793,4.3870693269320205,1.6665037269254785,-0.055473230908355056,-0.0758178384927641
89,90,NW2017,feel,pressure,feel,pressure,verb_obj,,2190,80653,25651,33005666,5.126757502,45.45802357,268.6980061,9.398878797,0.026440802,0.082997681,197,255,239,326,436,359,196,182,3.3404441148401185,4.9066205262099665,4.4091043006765425,0.15731358631493395,-0.20830046738848565,-0.29653763711176073
90,91,NW2017,change,direction,change,direction,verb_obj,,1403,147763,14431,33005666,4.440700476,35.73181758,166.5126109,8.146938368,0.009098439,0.09278493,129,213,215,258,130,168,90,200,3.1470576710283598,5.169565699907953,4.159296426688385,-0.7350520993685282,-0.43629986854276054,-0.018624248763278943
91,92,NW2017,take,pride,take,pride,verb_obj,,2628,1120240,6569,33005666,3.559125466,46.9148247,161.068962,6.255937999,0.002222327,0.366192935,284,360,338,432,492,200,185,337,3.419625360887743,6.049311075803824,3.8174992618677583,-0.42932992109107254,-2.052580080974222,1.5073897189120553
92,93,NW2017,show,respect,show,respect,verb_obj,,1944,185079,18081,33005666,4.261054344,41.79126483,182.9945269,8.29255565,0.01001195,0.101964543,177,287,202,131,159,185,533,270,3.288696260590256,5.267357144298493,4.257222446187574,-0.5040208501734649,-0.6821734268520033,-0.11765324901527897
93,94,NW2017,add,value,add,value,verb_obj,,1464,125852,53108,33005666,2.853900015,32.96975096,88.64830195,8.066422202,0.010062021,0.023791708,265,477,19,179,139,50,15,320,3.165541076722373,5.09986012160915,4.7251599465835366,-1.282248201259048,-0.7276185874510444,-0.7511763905653805
94,95,NW2017,cause,disease,cause,disease,verb_obj,,1190,80259,16186,33005666,4.918121792,33.35541431,183.4076432,8.659327032,0.014371544,0.071123532,269,93,12,336,117,157,27,179,3.0755469613925306,4.9044937442691445,4.209139536056534,-0.6062797895732106,-0.04900856776004297,-0.08435593142506953
